analysis_year,analysis_era,run,scope_name,member_count,proof,all_active_members_unprescaled,ls_tolerance_fb
2022,2022,356071,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356071,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356074,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356075,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356076,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356077,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356135,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356135,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356135,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356135,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,356135,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
